103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
中和區(第5選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
1420,秀山國小,立人街２號,秀福里,1-11,,,
1421,秀山國小,立人街２號,秀福里,12-22,,,
1422,秀山國小,立人街２號,秀福里,23-36,,,
1423,力霸大廈活動中心,成功路１３１號,秀景里,"1,12,14,25,29,35-40",,,
1424,百年好合親子園,秀朗路三段１７５巷１０號,秀景里,"2-7,10,11,26-28,41,42",,,
1425,尖山腳市民活動中心,成功路９７巷７號,秀景里,"8,9,13,17-19,24,30-32",,,
1426,翠隄雙星中庭,成功路９至２３號,秀景里,"15,16,20-23,33,34,43",,,
1427,中和基督之家,景平路２７８巷１４弄１６號,秀明里,"1-5,31-35,56",,,
1428,東帝巿大廈管理室,景平路２００號內,秀明里,"6-8,27-29,36-55",,,
1429,秀明公園,大勇街２９巷１號對面,秀明里,"9-26,30",,,
1430,土地公廟活動中心,秀峰街８５巷３３號,秀峰里,1-13,,,
1431,土地公廟活動中心,秀峰街８５巷３３號,秀峰里,"14-19,21,22,24-31",,,
1432,冠德住易中庭,景德街２６號旁,秀峰里,"20,23,32-47",,,
1433,景新國小(風雨操場),景平路１１１巷１９號旁(景新國小後門),秀士里,"1-4,13-15,20-22",,,
1434,景新國小(風雨操場),景平路１１１巷１９號旁(景新國小後門),秀士里,"5-12,16-19",,,
1435,秀山國小,立人街２號,秀水里,1-9,,,
1436,秀山國小,立仁街２號,秀水里,10-19,,,
1437,秀山國小,立人街２號,秀水里,20-28,,,
1438,秀山國小,立人街２號,秀仁里,"1-10,20,21",,,
1439,秀山國小,立人街２號,秀仁里,"11-19,22,23",,,
